
2022/12/18 (22:17:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/19 (16:01:49) | ===> btop++ v.1.2.13
2022/12/19 (16:01:49) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/19 (16:03:01) | ===> btop++ v.1.2.13
2022/12/19 (16:03:01) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2022/12/20 (16:48:32) | ERROR: Stall in Runner thread, restarting!

2022/12/21 (23:31:42) | ===> btop++ v.1.2.13
2022/12/21 (23:31:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/22 (14:05:45) | ===> btop++ v.1.2.13
2022/12/22 (14:05:45) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/22 (15:44:44) | ===> btop++ v.1.2.13
2022/12/22 (15:44:44) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/24 (12:47:17) | ===> btop++ v.1.2.13
2022/12/24 (12:47:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/24 (22:01:52) | ===> btop++ v.1.2.13
2022/12/24 (22:01:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/24 (22:22:33) | ===> btop++ v.1.2.13
2022/12/24 (22:22:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/24 (22:24:09) | ===> btop++ v.1.2.13
2022/12/24 (22:24:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/24 (23:32:39) | ===> btop++ v.1.2.13
2022/12/24 (23:32:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/25 (00:44:40) | ===> btop++ v.1.2.13
2022/12/25 (00:44:40) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/25 (02:02:46) | ===> btop++ v.1.2.13
2022/12/25 (02:02:46) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/27 (15:33:42) | ===> btop++ v.1.2.13
2022/12/27 (15:33:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/28 (13:26:02) | ===> btop++ v.1.2.13
2022/12/28 (13:26:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/28 (18:02:43) | ===> btop++ v.1.2.13
2022/12/28 (18:02:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/02 (15:34:39) | ===> btop++ v.1.2.13
2023/01/02 (15:34:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/07 (19:02:07) | ===> btop++ v.1.2.13
2023/01/07 (19:02:07) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/10 (20:57:55) | ===> btop++ v.1.2.13
2023/01/10 (20:57:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/12 (19:39:17) | ===> btop++ v.1.2.13
2023/01/12 (19:39:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/18 (22:19:17) | ===> btop++ v.1.2.13
2023/02/18 (22:19:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/18 (23:13:00) | ===> btop++ v.1.2.13
2023/02/18 (23:13:00) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/19 (19:55:40) | ===> btop++ v.1.2.13
2023/02/19 (19:55:40) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/19 (21:18:49) | ===> btop++ v.1.2.13
2023/02/19 (21:18:49) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/19 (21:39:58) | ===> btop++ v.1.2.13
2023/02/19 (21:39:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/19 (21:46:42) | ===> btop++ v.1.2.13
2023/02/19 (21:46:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/19 (22:15:50) | ===> btop++ v.1.2.13
2023/02/19 (22:15:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/20 (09:47:46) | ===> btop++ v.1.2.13
2023/02/20 (09:47:46) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/20 (10:12:30) | ===> btop++ v.1.2.13
2023/02/20 (10:12:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/20 (11:30:42) | ===> btop++ v.1.2.13
2023/02/20 (11:30:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/20 (16:39:55) | ===> btop++ v.1.2.13
2023/02/20 (16:39:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/21 (11:21:43) | ===> btop++ v.1.2.13
2023/02/21 (11:21:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/21 (14:14:52) | ===> btop++ v.1.2.13
2023/02/21 (14:14:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/22 (11:21:11) | ===> btop++ v.1.2.13
2023/02/22 (11:21:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/23 (15:46:50) | ===> btop++ v.1.2.13
2023/02/23 (15:46:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/23 (16:16:51) | ===> btop++ v.1.2.13
2023/02/23 (16:16:51) | ERROR: Stall in Runner thread, restarting!
